VehiclePicture,OverallRating,OverallFrontCrashRating,FrontCrashDriversideRating,FrontCrashPassengersideRating,FrontCrashPicture,FrontCrashVideo,OverallSideCrashRating,SideCrashDriversideRating,SideCrashPassengersideRating,SideCrashPicture,SideCrashVideo,combinedSideBarrierAndPoleRating-Front,combinedSideBarrierAndPoleRating-Rear,sideBarrierRating-Overall,RolloverRating,RolloverRating2,RolloverPossibility,RolloverPossibility2,dynamicTipResult,SidePoleCrashRating,SidePolePicture,SidePoleVideo,NHTSAElectronicStabilityControl,NHTSAForwardCollisionWarning,NHTSALaneDepartureWarning,ComplaintsCount,RecallsCount,InvestigationCount,ModelYear,Make,Model,VehicleDescription,VehicleId
,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,,,Standard,Standard,No,4,6,0,2022,AUDI,AUDI A3,2022 Audi Audi A3 4 DR FWD,16539
https://static.nhtsa.gov/images/vehicles/14788_st0640_046.png,5,4,4,4,https://static.nhtsa.gov/crashTest/images/2022/v09992P081.jpg,https://static.nhtsa.gov/crashTest/videos/2022/v09992C017.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2022/v09995P104.jpg,https://static.nhtsa.gov/crashTest/videos/2022/v09995C013.wmv,5,5,5,5,Not Rated,0.099,0, ,5,https://static.nhtsa.gov/crashTest/images/2022/v09993P072.jpg,https://static.nhtsa.gov/crashTest/videos/2022/v09993C014.wmv,Standard,Standard,Standard,3,3,0,2022,AUDI,AUDI A4,2022 Audi Audi A4 4 DR AWD,16542
https://static.nhtsa.gov/images/vehicles/14788_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,,,5,5,5,,,5,5,5,Not Rated,Not Rated,0,0, ,5,,,Standard,Standard,Standard,0,1,0,2022,AUDI,AUDI A4 ALLROAD,2022 Audi Audi A4 allroad SW AWD,16544
,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,,,Standard,Standard,Standard,1,2,0,2022,AUDI,AUDI A5,2022 Audi Audi A5 2 DR AWD,16547
,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,,,Standard,Standard,Standard,0,1,0,2022,AUDI,AUDI A5 CABRIOLET,2022 Audi Audi A5 Cabriolet C AWD,16545
https://static.nhtsa.gov/images/vehicles/14958_st0640_046.png,5,4,4,4,,,5,5,5,,,5,5,5,5,Not Rated,0.099,0, ,5,,,Standard,Standard,Standard,1,2,0,2022,AUDI,AUDI A5 SPORTBACK,2022 Audi Audi A5 Sportback 4 DR AWD,16550
,5,4,5,4,https://static.nhtsa.gov/crashTest/images/2022/v10982P084.jpg,https://static.nhtsa.gov/crashTest/videos/2022/v10982C019.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2022/v11297P105.jpg,https://static.nhtsa.gov/crashTest/videos/2022/v11297C013.wmv,5,5,5,5,Not Rated,0.089,0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2022/v10983P072.jpg,https://static.nhtsa.gov/crashTest/videos/2022/v10983C013.wmv,Standard,Standard,No,1,4,0,2022,AUDI,AUDI A6,2022 Audi Audi A6 4 DR AWD,16555
,5,4,5,4,,,5,5,5,,,5,5,5,5,Not Rated,0.089,0,No Tip,5,,,Standard,Standard,No,1,3,0,2022,AUDI,AUDI A6 ALLROAD,2022 Audi Audi A6 allroad SW AWD,16553
https://static.nhtsa.gov/images/vehicles/15008_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,,,5,5,5,,,5,5,5,Not Rated,Not Rated,0,0, ,5,,,Standard,Standard,No,0,4,0,2022,AUDI,AUDI A7,2022 Audi Audi A7 4 DR AWD,16557
https://static.nhtsa.gov/images/vehicles/15008_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,,,Standard,Standard,No,0,0,1,2022,AUDI,AUDI A7 PHEV,2022 Audi Audi A7 PHEV 4 DR AWD,16558
,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,,,Standard,Standard,No,0,2,0,2022,AUDI,AUDI A8 LWB,2022 Audi Audi A8 LWB 4 DR AWD,16561
https://static.nhtsa.gov/images/vehicles/14701_st0640_046.png,5,4,4,4,https://static.nhtsa.gov/crashTest/images/2022/v10826P122.jpg,https://static.nhtsa.gov/crashTest/videos/2022/v10826C019.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2022/v10827P104.JPG,https://static.nhtsa.gov/crashTest/videos/2022/v10827C012.wmv,5,5,5,5,Not Rated,0.092,0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2022/v10828P072.jpg,https://static.nhtsa.gov/crashTest/videos/2022/v10828C013.wmv,Standard,Standard,No,14,4,1,2022,AUDI,AUDI E-TRON,2022 Audi Audi e-tron SUV AWD,16563
https://static.nhtsa.gov/images/vehicles/14701_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,,,Standard,Standard,No,5,11,0,2022,AUDI,AUDI E-TRON GT,2022 Audi Audi e-tron GT 4 DR AWD,16567
https://static.nhtsa.gov/images/vehicles/14701_st0640_046.png,Not Rated,4,4,4,https://static.nhtsa.gov/crashTest/images/2022/v10826P122.jpg,https://static.nhtsa.gov/crashTest/videos/2022/v10826C019.wmv,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,5,Not Rated,0.092,0,No Tip,Not Rated,,,Standard,Standard,No,7,0,0,2022,AUDI,AUDI E-TRON S,2022 Audi Audi e-tron S SUV AWD,16564
https://static.nhtsa.gov/images/vehicles/14763_st0640_046.png,Not Rated,4,4,4,https://static.nhtsa.gov/crashTest/images/2022/v10826P122.jpg,https://static.nhtsa.gov/crashTest/videos/2022/v10826C019.wmv,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,5,Not Rated,0.092,0,No Tip,Not Rated,,,Standard,Standard,No,7,0,0,2022,AUDI,AUDI E-TRON S SPORTBACK,2022 Audi Audi e-tron S Sportback SUV AWD,16566
https://static.nhtsa.gov/images/vehicles/14763_st0640_046.png,5,4,4,4,,,5,5,5,,,5,5,5,5,Not Rated,0.092,0,No Tip,5,,,Standard,Standard,No,14,4,1,2022,AUDI,AUDI E-TRON SPORTBACK,2022 Audi Audi e-tron Sportback SUV AWD,16565
,5,4,4,4,https://static.nhtsa.gov/crashTest/images/2022/v10925P084.jpg,https://static.nhtsa.gov/crashTest/videos/2022/v10925C019.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2022/v10823P104.jpg,https://static.nhtsa.gov/crashTest/videos/2022/v10823C013.wmv,5,5,5,4,Not Rated,0.164,0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2022/v10821P072.jpg,https://static.nhtsa.gov/crashTest/videos/2022/v10821C013.wmv,Standard,Standard,Standard,23,5,0,2022,AUDI,AUDI Q3,2022 Audi Audi Q3 SUV AWD,16569
https://static.nhtsa.gov/images/vehicles/14701_st0640_046.png,5,4,5,4,https://static.nhtsa.gov/crashTest/images/2022/v14252P121.jpg,https://static.nhtsa.gov/crashTest/videos/2022/v14252C018.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2022/v14251P143.jpg,https://static.nhtsa.gov/crashTest/videos/2022/v14251C013.wmv,5,5,5,4,Not Rated,0.113,0,No Tip,3,https://static.nhtsa.gov/crashTest/images/2022/v14250P113.jpg,https://static.nhtsa.gov/crashTest/videos/2022/v14250C013.wmv,Standard,Standard,No,0,4,0,2022,AUDI,AUDI Q4 E-TRON,2022 Audi Audi Q4 e-tron SUV AWD,16589
https://static.nhtsa.gov/images/vehicles/14763_st0640_046.png,5,4,5,4,,,5,5,5,,,5,5,5,4,Not Rated,0.113,0,No Tip,3,,,Standard,Standard,No,5,0,0,2022,AUDI,AUDI Q4 SPORTBACK E-TRON,2022 Audi Audi Q4 Sportback e-tron SUV AWD,16571
https://static.nhtsa.gov/images/vehicles/15067_st0640_046.png,5,5,5,5,https://static.nhtsa.gov/crashTest/images/2022/v10183P080.jpg,https://static.nhtsa.gov/crashTest/videos/2022/v10183C017.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2022/v10170P105.jpg,https://static.nhtsa.gov/crashTest/videos/2022/v10170C013.wmv,5,5,5,4,Not Rated,0.164,0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2022/v10173P071.jpg,https://static.nhtsa.gov/crashTest/videos/2022/v10173C014.wmv,Standard,Standard,Standard,24,4,0,2022,AUDI,AUDI Q5,2022 Audi Audi Q5 SUV AWD,16572
https://static.nhtsa.gov/images/vehicles/15067_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,,,Standard,Standard,Standard,0,0,1,2022,AUDI,AUDI Q5 PHEV,2022 Audi Audi Q5 PHEV SUV AWD,16574
https://static.nhtsa.gov/images/vehicles/15067_st0640_046.png,5,5,5,5,https://static.nhtsa.gov/crashTest/images/2022/v10183P080.jpg,https://static.nhtsa.gov/crashTest/videos/2022/v10183C017.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2022/v10170P105.jpg,https://static.nhtsa.gov/crashTest/videos/2022/v10170C013.wmv,5,5,5,4,Not Rated,0.164,0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2022/v10173P071.jpg,https://static.nhtsa.gov/crashTest/videos/2022/v10173C014.wmv,Standard,Standard,Standard,24,4,0,2022,AUDI,AUDI Q5 SPORTBACK,2022 Audi Audi Q5 Sportback SUV AWD,16575
,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,4,Not Rated,0.157,0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2022/v11825P072.jpg,https://static.nhtsa.gov/crashTest/videos/2022/v11825C013.wmv,Standard,Standard,No,11,2,0,2022,AUDI,AUDI Q7,2022 Audi Audi Q7 SUV AWD,16577
,Not Rated,5,4,5,https://static.nhtsa.gov/crashTest/images/2022/v10660P080.jpg,https://static.nhtsa.gov/crashTest/videos/2022/v10660C017.wmv,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,4,Not Rated,0.158,0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2022/v10659P072.jpg,https://static.nhtsa.gov/crashTest/videos/2022/v10659C013.wmv,Standard,Standard,No,0,2,0,2022,AUDI,AUDI Q8,2022 Audi Audi Q8 SUV AWD,16579
,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,,,Standard,No,No,0,1,0,2022,AUDI,AUDI R8,2022 Audi Audi R8 2 DR AWD,16590
,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,,,Standard,No,No,0,1,0,2022,AUDI,AUDI R8,2022 Audi Audi R8 2 DR RWD,16582
,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,,,Standard,No,No,0,1,0,2022,AUDI,AUDI R8 SPYDER,2022 Audi Audi R8 Spyder C AWD,16591
,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,,,Standard,No,No,0,1,0,2022,AUDI,AUDI R8 SPYDER,2022 Audi Audi R8 Spyder C RWD,16583
,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,,,Standard,Standard,No,0,2,0,2022,AUDI,AUDI RS 3,2022 Audi Audi RS 3 4 DR AWD,16541
https://static.nhtsa.gov/images/vehicles/14957_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,,,Standard,Standard,Standard,0,1,0,2022,AUDI,AUDI RS 5,2022 Audi Audi RS 5 2 DR AWD,16549
https://static.nhtsa.gov/images/vehicles/14957_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,5,Not Rated,0.099,0, ,Not Rated,,,Standard,Standard,Standard,0,1,0,2022,AUDI,AUDI RS 5 SPORTBACK,2022 Audi Audi RS 5 Sportback 4 DR AWD,16552
,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,,,Standard,Standard,No,0,4,0,2022,AUDI,AUDI RS 6 AVANT,2022 Audi Audi RS 6 Avant SW AWD,16554
,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,,,Standard,Standard,No,0,3,0,2022,AUDI,AUDI RS 7,2022 Audi Audi RS 7 4 DR AWD,16560
,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,,,Standard,Standard,No,2,5,0,2022,AUDI,AUDI RS E-TRON GT,2022 Audi Audi RS e-tron GT 4 DR AWD,16568
,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,4,Not Rated,0.158,0,No Tip,Not Rated,,,Standard,Standard,No,4,3,0,2022,AUDI,AUDI RS Q8,2022 Audi Audi RS Q8 SUV AWD,16581
,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,,,Standard,Standard,No,1,7,0,2022,AUDI,AUDI S3,2022 Audi Audi S3 4 DR AWD,16540
https://static.nhtsa.gov/images/vehicles/14935_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,5,Not Rated,0.099,0,No Tip,Not Rated,,,Standard,Standard,Standard,1,1,0,2022,AUDI,AUDI S4,2022 Audi Audi S4 4 DR AWD,16543
,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,,,Standard,Standard,Standard,0,2,0,2022,AUDI,AUDI S5,2022 Audi Audi S5 2 DR AWD,16548
,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,,,Standard,Standard,Standard,0,1,0,2022,AUDI,AUDI S5 CABRIOLET,2022 Audi Audi S5 Cabriolet C AWD,16546
,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,5,Not Rated,0.099,0, ,Not Rated,,,Standard,Standard,Standard,0,0,0,2022,AUDI,AUDI S5 SPORTBACK,2022 Audi Audi S5 Sportback 4 DR AWD,16551
,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,5,Not Rated,0.089,0,No Tip,Not Rated,,,Standard,Standard,No,3,3,0,2022,AUDI,AUDI S6,2022 Audi Audi S6 4 DR AWD,16556
,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,,,Standard,Standard,No,0,2,0,2022,AUDI,AUDI S7,2022 Audi Audi S7 4 DR AWD,16559
,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,,,Standard,Standard,No,0,2,0,2022,AUDI,AUDI S8 LWB,2022 Audi Audi S8 LWB 4 DR AWD,16562
https://static.nhtsa.gov/images/vehicles/14731_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,4,Not Rated,0.163,0,No Tip,Not Rated,,,Standard,Standard,Standard,1,2,0,2022,AUDI,AUDI SQ5,2022 Audi Audi SQ5 SUV AWD,16573
https://static.nhtsa.gov/images/vehicles/15066_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,4,Not Rated,0.163,0,No Tip,Not Rated,,,Standard,Standard,Standard,0,0,0,2022,AUDI,AUDI SQ5 SPORTBACK,2022 Audi Audi SQ5 Sportback SUV AWD,16576
,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,4,Not Rated,0.157,0,No Tip,Not Rated,,,Standard,Standard,No,0,2,0,2022,AUDI,AUDI SQ7,2022 Audi Audi SQ7 SUV AWD,16578
,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,4,Not Rated,0.158,0,No Tip,Not Rated,,,Standard,Standard,No,1,2,0,2022,AUDI,AUDI SQ8,2022 Audi Audi SQ8 SUV AWD,16580
,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,,,Standard,No,No,0,0,0,2022,AUDI,AUDI TT,2022 Audi Audi TT 2 DR AWD,16584
,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,,,Standard,No,No,0,0,0,2022,AUDI,AUDI TT ROADSTER,2022 Audi Audi TT Roadster C AWD,16587
,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,,,Standard,No,No,0,0,0,2022,AUDI,AUDI TT RS,2022 Audi Audi TT RS 2 DR AWD,16586
,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,,,Standard,No,No,0,0,0,2022,AUDI,AUDI TTS,2022 Audi Audi TTS 2 DR AWD,16585
,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,,,Standard,No,No,0,0,1,2022,BENTLEY,BENTAYGA HYBRID,2022 Bentley Bentayga Hybrid SUV AWD,16522
,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,,,Standard,No,No,0,5,0,2022,BENTLEY,BENTAYGA SPEED,2022 Bentley Bentayga Speed SUV AWD,16523
